authors,title,average_rating
Robert Crais,"Suspect (Scott James & Maggie, #1)",4.0
William Pène du Bois,The Twenty-One Balloons,4.0
John Sandford,"Stolen Prey (Lucas Davenport, #22)",4.0
Donald A. Norman,The Design of Everyday Things,4.0
Margaret Peterson Haddix,Running Out of Time,4.0
Robert Dugoni,"Her Final Breath (Tracy Crosswhite, #2)",4.0
Judith McNaught,"Something Wonderful (Sequels, #2)",4.0
Nora Roberts,Tribute,4.0
Debbie Macomber,"16 Lighthouse Road (Cedar Cove, #1)",4.0
Joanna Weaver,Having a Mary Heart in a Martha World: Finding Intimacy With God in the Busyness of Life,4.0
Laura Lippman,I'd Know You Anywhere,3.0
Leslye Walton,The Strange and Beautiful Sorrows of Ava Lavender,4.0
Joanna Trollope,"Sense & Sensibility (The Austen Project, #1)",4.0
Jen Hatmaker,7: An Experimental Mutiny Against Excess,4.0
Nalini Singh,"Archangel's Consort (Guild Hunter, #3)",4.0
Anna Lee Waldo,Sacajawea (Lewis & Clark Expedition),4.0
"Gene Luen Yang, Michael Dante DiMartino, Bryan Konietzko, Gurihiru","Avatar: The Last Airbender (The Rift, #1)",4.0
Richard Ford,Independence Day,4.0
Brad Thor,"The Last Patriot (Scot Harvath, #7)",4.0
Francine Rivers,Bridge to Haven,4.0
J. Courtney Sullivan,The Engagements,4.0
Kristen Ashley,"Creed (Unfinished Hero, #2)",4.0
Daniel Silva,"The Black Widow (Gabriel Allon, #16)",4.0
Stephen E. Robinson,Believing Christ: The Parable of the Bicycle and Other Good News,5.0
Amanda Hocking,Wake (Watersong #1),4.0
Loreth Anne White,A Dark Lure,4.0
Simon Singh,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,4.0
Karen Chance,"Touch the Dark (Cassandra Palmer, #1)",4.0
Dan Simmons,Carrion Comfort,4.0
Lori Brighton,"The Mind Readers (Mind Readers, #1)",4.0
Karen Marie Moning,"The Highlander's Touch (Highlander, #3)",4.0
Avi,"The Cross of Lead (Crispin, #1)",4.0
Piers Anthony,"Wielding a Red Sword (Incarnations of Immortality, #4)",4.0
Kylie Scott,"Deep (Stage Dive, #4)",4.0
"J. Michael Straczynski, Shane Davis, Sandra Hope, Barbara Ciardo, Rob Leigh","Superman: Earth One, Volume 1",4.0
Cassandra Clare,The Mortal Instruments (The Mortal Instruments #1-4),5.0
Rachel Gibson,"See Jane Score (Chinooks Hockey Team, #2)",4.0
Michael Dorris,A Yellow Raft in Blue Water,4.0
Seanan McGuire,"Rosemary and Rue (October Daye, #1)",4.0
Robert Lynn Asprin,"Another Fine Myth (Myth Adventures, #1)",4.0
"Simon Kuper, Stefan Szymanski","Soccernomics: Why England Loses, Why Germany and Brazil Win, and Why the U.S., Japan, Australia, Turkey--and Even Iraq--Are Destined to Become the Kings of the World's Most Popular Sport",4.0
Catherine Fisher,"Sapphique (Incarceron, #2)",4.0
Tess Gerritsen,Harvest,4.0
Mark Bittman,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,4.0
Sandy   Hall,A Little Something Different,4.0
Ann Patchett,This is the Story of a Happy Marriage,4.0
Jeff Kinney,Diary of a Wimpy Kid: #1-4,4.0
John Verdon,"Think of a Number (Dave Gurney, #1)",4.0
Lang Leav,Lullabies,4.0
Nora Roberts,Birthright,4.0
James L. Ferrell,The Peacegiver: How Christ Offers to Heal Our Hearts and Homes,4.0
Mark Kurlansky,Cod: A Biography of the Fish that Changed the World,4.0
Brian Greene,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,4.0
"Betty Friedan, Anna Quindlen",The Feminine Mystique,4.0
"Graham Greene, J.M. Coetzee",Brighton Rock,4.0
"Greg Mortenson, Khaled Hosseini","Stones Into Schools: Promoting Peace With Books, Not Bombs, in Afghanistan and Pakistan",4.0
Toni Morrison,A Mercy,4.0
Neal Stephenson,Zodiac,4.0
A.G. Riddle,Departure,4.0
Agatha Christie,"The Mystery of the Blue Train (Hercule Poirot, #6)",4.0
"James Patterson, Maxine Paetro","Private #1 Suspect (Private, #2)",4.0
George Saunders,Pastoralia,4.0
"Robert Kirkman, Charlie Adlard, Cliff Rathburn","The Walking Dead, Vol. 07: The Calm Before",4.0
Robert A. Heinlein,Methuselah's Children,4.0
Lauren Oliver,"Hana (Delirium, #1.5)",4.0
"Garth Ennis, Steve Dillon, John McCrea","Preacher, Volume 8: All Hell's a-Coming",4.0
"Stephen King, Michael Whelan","The Little Sisters of Eluria (The Dark Tower, #0.5)",4.0
"Stan Berenstain, Jan Berenstain","Inside, Outside, Upside Down (Berenstain Bears Bright and Early Board Book)",4.0
Robert Crais,"The First Rule (Elvis Cole, #13; Joe Pike, #2)",4.0
David Colbert,"The Magical Worlds of Harry Potter: A Treasury of Myths, Legends, and Fascinating Facts",4.0
Peter H. Reynolds,The Dot,4.0
Shannon Hale,"Forest Born (The Books of Bayern, #4)",4.0
Clive Barker,The Damnation Game,4.0
Kate Brian,"Private (Private, #1)",4.0
Danielle Steel,Sisters,4.0
"William Gibson, Bruce Sterling",The Difference Engine ,3.0
Jon Klassen,I Want My Hat Back,4.0
R.A. Salvatore,"The Lone Drow (Forgotten Realms: Hunter's Blades, #2; Legend of Drizzt, #15)",4.0
Jeffrey Archer,"Cometh the Hour (The Clifton Chronicles, #6)",4.0
Corban Addison,A Walk Across the Sun,4.0
Alastair Reynolds,House of Suns,4.0
Bella Forrest,"A Shadow of Light (A Shade of Vampire, #4)",4.0
Edgar Allan Poe,The Black Cat,4.0
John Steakley,Armor,4.0
"Astrid Lindgren, Ilon Wikland, Jill M. Morgan",The Brothers Lionheart,4.0
Lisa Scottoline,Don't Go,4.0
Sue Grafton,"Q is for Quarry (Kinsey Millhone, #17)",4.0
Jojo Moyes,The Ship of Brides,4.0
"Jacqueline Wilson, Nick Sharratt",The Story of Tracy Beaker,4.0
Evan Wright,"Generation Kill: Devil Dogs, Iceman, Captain America, and the New Face of American War",4.0
"Leigh Nichols, Dean Koontz",The Servants of Twilight,4.0
Daniel Silva,"Moscow Rules (Gabriel Allon, #8)",4.0
Hope Jahren,Lab Girl,4.0
Derek Landy,"Playing with Fire (Skulduggery Pleasant, #2)",4.0
Patricia Gaffney,The Saving Graces,4.0
Harlan Coben,Fade Away (Myron Bolitar #3),4.0
Peter Shaffer,Amadeus,4.0
R.A. Salvatore,"The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)",4.0
Emmy Laybourne,"Monument 14 (Monument 14, #1)",4.0
Jude Deveraux,"The Black Lyon (Montgomery/Taggert, #1)",4.0
Anne Lamott,Grace (Eventually): Thoughts on Faith,4.0
Martha Stewart,Everyday Food: Great Food Fast,4.0
Christina Lauren,"Beautiful Bombshell (Beautiful Bastard, #2.5)",4.0
Teri Terry,"Slated (Slated, #1)",4.0
Christine Feehan,"Dark Gold (Dark, #3)",4.0
Kathy Reichs,"206 Bones (Temperance Brennan, #12)",4.0
Lorrie Moore,A Gate at the Stairs,3.0
Rebecca Forster,"Hostile Witness (Witness Series, #1)",4.0
"Jack London, Andrew Sinclair",Martin Eden,4.0
Conn Iggulden,"Genghis: Lords of the Bow (Conqueror, #2)",4.0
"Brian Azzarello, Cliff Chiang, Tony Akins, Dan Green, Matthew Wilson, Jared K. Fletcher","Wonder Woman, Volume 1: Blood",4.0
Brittainy C. Cherry,Loving Mr. Daniels,4.0
"William Shakespeare, David Scott Kastan","King Henry IV, Part 1 (Wars of the Roses, #2)",4.0
Ed Emberley,"Go Away, Big Green Monster!",4.0
"Jinsei Kataoka, Kazuma Kondou","Deadman Wonderland, Volume 1 (Deadman Wonderland, #1)",4.0
Linda Lafferty,The Bloodletter's Daughter: A Novel of Old Bohemia,4.0
Robert Harling,Steel Magnolias (DPS Acting Edition),4.0
John Updike,Rabbit at Rest (Rabbit Angstrom #4),4.0
"David Axton, Dean Koontz",Icebound,4.0
George R.R. Martin,Fevre Dream,4.0
"Caralyn Buehner, Mark Buehner",Snowmen at Night,4.0
Alessandra Torre,"Hollywood Dirt (Hollywood Dirt, #1)",4.0
Tara Sivec,"Futures and Frosting (Chocolate Lovers, #2)",4.0
"Thomas Paine, Sidney Hook, Jack Fruchtman Jr.","Common Sense, The Rights of Man and Other Essential Writings",4.0
Matthew Quick,The Good Luck of Right Now,4.0
Alexander McCall Smith,"The Miracle at Speedy Motors (No.1 Ladies' Detective Agency, #9)",4.0
Ian Fleming,"Goldfinger (James Bond, #7)",4.0
Richard Paul Evans,"Rise of the Elgen (Michael Vey, #2)",4.0
Clive Barker,Cabal,4.0
David Baldacci,"No Man's Land (John Puller, #4)",4.0
David Farland,The Runelords (Runelords #1),4.0
"Cassandra Clare, Sarah Rees Brennan","Welcome to Shadowhunter Academy (Tales from the Shadowhunter Academy, #1)",4.0
Alan Dean Foster,Alien,4.0
Robert Crais,"The Sentry (Elvis Cole, #14; Joe Pike, #3)",4.0
J.M. Darhower,"Sempre (Sempre, #1)",4.0
Ilona Andrews,"Magic Shifts (Kate Daniels, #8)",4.0
"Roald Dahl, Quentin Blake",Going Solo,4.0
"Sara Pennypacker, Marla Frazee","Clementine (Clementine, #1)",4.0
Daniel Abraham,"The Dragon's Path (The Dagger and the Coin, #1)",4.0
"T.S. Eliot, Edward Gorey",Old Possum's Book of Practical Cats,4.0
Philippa Gregory,"The Taming of the Queen (The Plantagenet and Tudor Novels, #11)",4.0
"Henning Mankell, Laurie Thompson","The Man Who Smiled (Kurt Wallander, #4)",4.0
Ai Yazawa,"Paradise Kiss, Vol. 1 (Paradise Kiss, #1)",4.0
Geoff Colvin,Talent is Overrated: What Really Separates World-Class Performers from Everybody Else,4.0
Sherrilyn Kenyon,One Silent Night (Dark-Hunter #15),4.0
Lois McMaster Bujold,"The Warrior's Apprentice (Vorkosigan Saga, #2)",4.0
"George C. Perry, Clive Barda, Jane Rice, Andrew Lloyd Webber",The Complete Phantom of the Opera,4.0
"Michael Buckley, Peter Ferguson","The Unusual Suspects (The Sisters Grimm, #2)",4.0
Stephen R. Donaldson,"White Gold Wielder (The Second Chronicles of Thomas Covenant, #3)",4.0
Anne McCaffrey,"The Ship Who Sang (Brainship, #1)",4.0
"Liu Cixin, Joel Martinsen","The Dark Forest (Remembrance of Earth’s Past, #2)",4.0
Mira Grant,"Blackout (Newsflesh Trilogy, #3)",4.0
"Leigh Nichols, Dean Koontz",The Eyes of Darkness,4.0
Anne Bishop,"Heir to the Shadows (The Black Jewels, #2)",4.0
Pepper Winters,"Tears of Tess (Monsters in the Dark, #1)",4.0
Tami Hoag,"Guilty as Sin  (Deer Lake, #2)",4.0
Alastair Reynolds,Chasm City,4.0
Martin Sixsmith,"The Lost Child of Philomena Lee: A Mother, Her Son and a 50 Year Search",4.0
Liz Murray,"Breaking Night: A Memoir of Forgiveness, Survival, and My Journey from Homeless to Harvard",4.0
"J.D. Robb, Nora Roberts","Treachery in Death (In Death, #32)",4.0
Nancy Horan,Under the Wide and Starry Sky,4.0
Quinn Loftis,"Blood Rites (The Grey Wolves, #2)",4.0
Tijan,"Carter Reed (Carter Reed, #1)",4.0
Tony Parsons,"Man and Boy (Harry Silver, #1)",4.0
Margaret George,The Memoirs of Cleopatra,4.0
Steve Berry,"The Jefferson Key (Cotton Malone, #7)",4.0
Miriam Toews,All My Puny Sorrows,4.0
Miranda Beverly-Whittemore,Bittersweet,3.0
John Gribbin,In Search of Schrödinger's Cat: Quantum Physics and Reality,4.0
F. Paul Wilson,"The Keep (Adversary Cycle, #1)",4.0
"James Patterson, Chris Tebbetts, Laura Park","Middle School: The Worst Years of My Life (Midde School, #1)",4.0
Octavia E. Butler,"Dawn (Xenogenesis, #1)",4.0
"Hans Fallada, Michael Hofmann, Geoff Wilkes",Every Man Dies Alone,4.0
Alwyn Hamilton,"Rebel of the Sands (Rebel of the Sands, #1)",4.0
Joe Haldeman,"Forever Peace (The Forever War, #2)",4.0
"J.D. Robb, Nora Roberts","Betrayal in Death (In Death, #12)",4.0
"C.G. Jung, Joseph L. Henderson, Aniela Jaffé, Jolande Jacobi, John Freeman, Marie-Louise von Franz",Man and His Symbols,4.0
Kazu Kibuishi,"The Cloud Searchers (Amulet, #3)",4.0
Steven  Rowley,Lily and the Octopus,4.0
Tim O'Brien,In the Lake of the Woods,4.0
"Lisa Kleypas, Rosalyn Landor","Tempt Me at Twilight (The Hathaways, #3)",4.0
Colleen Houck,"Tiger's Destiny (The Tiger Saga, #4)",4.0
Harlan Coben,Back Spin (Myron Bolitar #4),4.0
Susan Elizabeth Phillips,"This Heart of Mine (Chicago Stars, #5)",4.0
Louise Doughty,Apple Tree Yard,4.0
Emma Chase,"Twisted (Tangled, #2)",4.0
Gail Carriger,"Heartless (Parasol Protectorate, #4)",4.0
Janette Oke,"When Calls the Heart (Canadian West, #1)",4.0
Stephanie Evanovich,Big Girl Panties,3.0
Julie Garwood,Saving Grace,4.0
Lisa Kleypas,"Married By Morning (The Hathaways, #4)",4.0
"Vladimir Nabokov, David Lodge",Pnin,4.0
Cornelia Funke,"The Inkheart Trilogy: Inkheart, Inkspell, Inkdeath (Inkworld, #1-3)",4.0
"Eiji Yoshikawa, Charles Terry, Edwin O. Reischauer",Musashi,4.0
John Grisham,Ford County,4.0
Matthew      Lewis,The Monk,4.0
Jamie Ford,Songs of Willow Frost,4.0
"Arnaldur Indriðason, Bernard Scudder","Jar City (Inspector Erlendur, #3)",4.0
Jeffery Deaver,"The Vanished Man (Lincoln Rhyme, #5)",4.0
Lynda Mullaly Hunt,One for the Murphys,4.0
Megan Shepherd,"The Madman’s Daughter (The Madman’s Daughter, #1)",4.0
"James Patterson, Howard Roughan","Second Honeymoon (Honeymoon, #2)",4.0
Samantha Young,"Hero (Hero, #1)",4.0
George Carlin,Brain Droppings,4.0
Gordon Korman,"Swindle (Swindle, #1)",4.0
Lucy Knisley,Relish: My Life in the Kitchen,4.0
Huntley Fitzpatrick,What I Thought Was True,4.0
Lambert M. Surhone,Pretty Little Liars (TV Series),4.0
Sara Shepard,"Ruthless (Pretty Little Liars, #10)",4.0
Beatriz Williams,The Secret Life of Violet Grant,4.0
Shayla Black,"Wicked Ties (Wicked Lovers, #1)",4.0
Jenny Nimmo,"Charlie Bone and the Beast (The Children of the Red King, #6)",4.0
Vi Keeland,The Baller: A Down and Dirty Football Novel,4.0
Brian Staveley,"The Providence of Fire (Chronicle of the Unhewn Throne, #2)",4.0
Gloria Steinem,My Life on the Road,4.0
Lauren Conrad,"Sweet Little Lies (L.A. Candy, #2)",4.0
Katy Evans,"Remy (Real, #3)",4.0
Kristen Ashley,"Rock Chick Revenge (Rock Chick, #5)",4.0
"Hans Christian Andersen, Rachel Isadora",The Little Match Girl,4.0
Rory Stewart,The Places in Between,4.0
Nora Roberts,"Stars of Fortune (The Guardians Trilogy, #1)",4.0
Agatha Christie,"Cat Among the Pigeons (Hercule Poirot, #32)",4.0
Edward Rutherfurd,Paris,4.0
Guy de Maupassant,The Necklace and Other Short Stories,4.0
Michael Connelly,Void Moon,4.0
Rudyard Kipling,Captains Courageous,4.0
John Sandford,"Shadow Prey (Lucas Davenport, #2)",4.0
Anne Rice,Violin,3.0
Sharon Guskin,The Forgetting Time,4.0
"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 3: Hard Run (Death Note, #3)",4.0
John Flanagan,"The Lost Stories (Ranger's Apprentice, #11)",4.0
Lee Child,"Deep Down (Jack Reacher, #16.5)",4.0
Hannah Harrington,Saving June,4.0
M.J. Arlidge,"Eeny Meeny (Helen Grace, #1)",4.0
Anna Banks,"Of Triton (The Syrena Legacy, #2)",4.0
Dean Koontz,What the Night Knows,4.0
Kitty French,"Knight & Play (Knight, #1)",4.0
Anthony  Ryan,"Queen of Fire (Raven's Shadow, #3)",4.0
Jack Gantos,Dead End in Norvelt,4.0
Jennifer Estep,"Spider's Bite (Elemental Assassin, #1)",4.0
Ralph Waldo Emerson,Self-Reliance and Other Essays,4.0
"Adele Faber, Elaine Mazlish, Kimberly Ann Coe",How to Talk So Kids Will Listen & Listen So Kids Will Talk,4.0
"Joseph Stein, Jerry Bock, Sheldon Harnick",Fiddler on the Roof,4.0
Sylvia Day,"Afterburn (Jax & Gia, #1)",4.0
Sydney Taylor,"All-of-a-Kind Family (All-of-a-Kind Family, #1)",4.0
Daniel Suarez,Influx,4.0
Terry Brooks,"Ilse Witch (Voyage of the Jerle Shannara, #1)",4.0
Katharine Graham,Personal History,4.0
Jane Harper,"The Dry (Aaron Falk, #1)",4.0
"Janet Evanovich, Charlotte Hughes",Full House (Full #1),4.0
"Kahlil Gibran, Anthony R. Ferris",The Broken Wings,4.0
Robin Hobb,"Blood of Dragons (Rain Wild Chronicles, #4)",4.0
Cornelius Ryan,A Bridge Too Far,4.0
Jerry Spinelli,Loser,4.0
Richard Kadrey,"Kill the Dead (Sandman Slim, #2)",4.0
Rolf Potts,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,4.0
Laurell K. Hamilton,"Kiss the Dead (Anita Blake, Vampire Hunter #21)",4.0
Ernest Hemingway,The Garden of Eden,4.0
Maya Banks,"Sweet Surrender (Sweet, #1)",4.0
Stephen R. Donaldson,"The One Tree (The Second Chronicles of Thomas Covenant, #2)",4.0
Bill Watterson,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,5.0
J.C. Reed,"Surrender Your Love (Surrender Your Love, #1)",4.0
Matthew Mather,CyberStorm,4.0
Chuck Klosterman,Fargo Rock City: A Heavy Metal Odyssey in Rural North Dakota,4.0
Tad Williams,"To Green Angel Tower, Part 1 (Memory, Sorrow, and Thorn, #3; Part 1)",4.0
"Nujood Ali, Delphine Minoui, Linda Coverdale","I Am Nujood, Age 10 and Divorced",4.0
Anne Rice,The Feast of All Saints,4.0
Joshua Ferris,To Rise Again at a Decent Hour,3.0
David Auburn,Proof,4.0
"Robert A. Heinlein, Damon Knight","The Past Through Tomorrow (Future History, #1-21)",4.0
Robert A. Caro,"Master of the Senate (The Years of Lyndon Johnson, #3)",4.0
Dean Koontz,"Saint Odd (Odd Thomas, #7)",4.0
Roald Dahl,The Wonderful Story of Henry Sugar and Six More,4.0
Charlaine Harris,"Real Murders (Aurora Teagarden, #1)",4.0
Patricia Cornwell,"Port Mortuary (Kay Scarpetta, #18)",4.0
"Dan Jurgens, Jerry Ordway, Louise Simonson, Roger Stern, Jon Bogdanove, Tom Grummett, Jackson Butch Guice, Brett Breeding, Rick Burchett, Doug Hazlewood, Dennis Janke, Denis Rodier",The Death of Superman,4.0
Steven Hall,The Raw Shark Texts,4.0
Rick Riordan,"The Hammer of Thor (Magnus Chase and the Gods of Asgard, #2)",4.0
Sonali Deraniyagala,Wave,4.0
"Margaret Weis, Tracy Hickman","Fire Sea (The Death Gate Cycle, #3)",4.0
Andrew Solomon,"Far from the Tree: Parents, Children, and the Search for Identity",4.0
"Barbara Park, Denise Brunkus","Junie B. Jones and the  Stupid Smelly Bus (Junie B. Jones, #1)",4.0
"Gabriel García Márquez, Gregory Rabassa",The Autumn of the Patriarch,4.0
Conn Iggulden,"Bones of the Hills (Conqueror, #3)",4.0
Oliver Sacks,Hallucinations,4.0
Karen Marie Moning,"Burned (Fever, #7)",4.0
Edgar Allan Poe,The Murders in the Rue Morgue,4.0
Guy Gavriel Kay,The Summer Tree (The Fionavar Tapestry #1),4.0
"Maud Hart Lovelace, Lois Lenski","Betsy-Tacy (Betsy-Tacy, #1)",4.0
Sara Zarr,Sweethearts,4.0
Lauren Groff,The Monsters of Templeton,4.0
Charlaine Harris,"Midnight Crossroad (Midnight, Texas, #1)",4.0
Diane Mott Davidson,"Catering to Nobody (A Goldy Bear Culinary Mystery, #1)",4.0
Julie Kagawa,"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",4.0
Kathy Reichs,"Devil Bones (Temperance Brennan, #11)",4.0
James  Jones,From Here to Eternity,4.0
Wayne W. Dyer,Change Your Thoughts - Change Your Life: Living the Wisdom of the Tao,4.0
Michael Moore,"Dude, Where's My Country?",3.0
Mario Puzo,The Last Don,4.0
Meg Cabot,"Ready or Not (All-American Girl, #2)",3.0
Gerda Weissmann Klein,All But My Life: A Memoir,4.0
"Grant Morrison, Frank Quitely","All-Star Superman, Vol. 2",4.0
"George R.R. Martin, Elio M. García Jr., Linda Antonsson",The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,4.0
Julia Quinn,"To Sir Phillip, With Love (Bridgertons, #5)",4.0
Nicole  Williams,"Lost & Found (Lost & Found, #1)",4.0
Margaret Peterson Haddix,"Among the Barons (Shadow Children, #4)",4.0
"Kimberly Brubaker Bradley, مرضیه ورشوساز",The War that Saved My Life (The War That Saved My Life #1),4.0
R.L. Stine,"Say Cheese and Die! (Goosebumps, #4)",4.0
Bernard Cornwell,"Sharpe's Tiger (Sharpe, #1)",4.0
Meg Cabot,Jinx,4.0
"Thomas Mann, Joachim Neugroschel",Death in Venice and Other Tales,4.0
Alan Bradley,"As Chimney Sweepers Come to Dust (Flavia de Luce, #7)",4.0
Zoë Heller,What Was She Thinking? [Notes on a Scandal],4.0
J.R. Ward,"The Beast (Black Dagger Brotherhood, #14)",4.0
Dorothea Benton Frank,"Sullivan's Island (Lowcountry Tales, #1)",4.0
"CLAMP, Anita Sengupta","Cardcaptor Sakura: Master of the Clow, Vol. 1 (Cardcaptor Sakura, #7)",4.0
G.P. Ching,"The Soulkeepers (The Soulkeepers, #1)",4.0
Michael Morpurgo,Private Peaceful,4.0
Rhys Bowen,"Her Royal Spyness (Her Royal Spyness Mysteries, #1)",4.0
Ilona Andrews,"Gunmetal Magic (Kate Daniels, #5.5)",4.0
Joe Abercrombie,"Half a War (Shattered Sea, #3)",4.0
Jennifer Probst,"The Marriage Mistake (Marriage to a Billionaire, #3)",4.0
Kelley Armstrong,"Darkest Powers Trilogy (Darkest Powers, #1-3)",4.0
Elizabeth Haydon,"Rhapsody: Child of Blood (Symphony of Ages, #1)",4.0
Erich Segal,Doctors,4.0
"Amin Maalouf, Russell Harris",Samarkand,4.0
J.D. Robb,"Indulgence in Death (In Death, #31)",4.0
NoViolet Bulawayo,We Need New Names,4.0
Jen Lancaster,Pretty in Plaid,4.0
Scott Cunningham,Wicca: A Guide for the Solitary Practitioner,4.0
"Arthur Miller, Christopher Bigsby",All My Sons,4.0
Cath Crowley,Graffiti Moon,4.0
John Steptoe,Mufaro's Beautiful Daughters: An African Tale,4.0
Lois McMaster Bujold,"Paladin of Souls (World of the Five Gods, #2)",4.0
Kurt Vonnegut Jr.,"God Bless You, Dr. Kevorkian",4.0
Molly Wizenberg,A Homemade Life: Stories and Recipes from My Kitchen Table,4.0
David Wiesner,The Three Pigs,4.0
Kimberly Derting,"Desires of the Dead (The Body Finder, #2)",4.0
"Peggy Parish, Barbara Siebel Thomas",Amelia Bedelia and the Surprise Shower,4.0
Cynthia Voigt,"Homecoming (Tillerman Cycle, #1)",4.0
Karen Marie Moning,"Spell of the Highlander (Highlander, #7)",4.0
"Margaret Weis, Tracy Hickman","The Hand of Chaos (The Death Gate Cycle, #5)",4.0
Harlan Coben,One False Move (Myron Bolitar #5),4.0
Roger Zelazny,The Guns of Avalon (The Chronicles of Amber #2),4.0
Katherine Paterson,The Great Gilly Hopkins,4.0
Clive Cussler,"Trojan Odyssey (Dirk Pitt, #17)",4.0
James Alexander Thom,Follow the River,4.0
"William Shakespeare, Barbara A. Mowat, Paul Werstine",Measure for Measure,4.0
"Owen  West, Dean Koontz",The Mask,4.0
Cristin Terrill,All Our Yesterdays,4.0
Kimberly Rae Miller,Coming Clean,4.0
Kathleen Winsor,Forever Amber ,4.0
John  Stephens,"The Emerald Atlas (The Books of Beginning, #1)",4.0
Zadie Smith,Swing Time,4.0
Yuna Kagesaki,"Chibi Vampire, Vol. 01",4.0
Nina LaCour,Everything Leads to You,4.0
Wendy Mass,Jeremy Fink and the Meaning of Life,4.0
Patricia Polacco,"Thank You, Mr. Falker",5.0
William Gibson,The Peripheral,4.0
Alice Munro,Too Much Happiness,4.0
"J. Lynn, Jennifer L. Armentrout","Tempting the Best Man (Gamble Brothers, #1)",4.0
C.S. Pacat,"Captive Prince: Volume Two (Captive Prince, #2)",5.0
William  Kennedy,Ironweed,4.0
Jonathan Kellerman,"Deception (Alex Delaware, #25)",4.0
Sarah J. Maas,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",5.0
Derek Landy,"The Faceless Ones (Skulduggery Pleasant, #3)",4.0
Paul Theroux,The Great Railway Bazaar,4.0
Brad Thor,"Black List (Scot Harvath, #11)",4.0
"Warren Ellis, Darick Robertson","Transmetropolitan, Vol. 2: Lust for Life (Transmetropolitan, #2)",4.0
Charles Stross,"The Atrocity Archives (Laundry Files, #1)",4.0
Steve Martin,The Pleasure of My Company,4.0
C.J. Sansom,"Dark Fire (Matthew Shardlake, #2)",4.0
Christina Lauren,"Beautiful Beginning (Beautiful Bastard, #3.5)",4.0
Brian Jacques,"Outcast of Redwall (Redwall, #8)",4.0
Lloyd Jones,Mister Pip,4.0
Cate Tiernan,"Book of Shadows (Sweep, #1)",4.0
Anna Todd,"After We Fell (After, #3)",4.0
Laurie Fabiano,Elizabeth Street,4.0
Sarah J. Maas,"The Assassin and the Pirate Lord (Throne of Glass, #0.1)",4.0
"Søren Kierkegaard, Alastair Hannay",Fear and Trembling,4.0
Amelia Atwater-Rhodes,"Hawksong (The Kiesha'ra, #1)",4.0
Thor Heyerdahl,Kon-Tiki: Across The Pacific In A Raft,4.0
Mohsin Hamid,How to Get Filthy Rich in Rising Asia,4.0
"Albert Einstein, Nigel Calder, Robert W. Lawson",Relativity: The Special and the General Theory,4.0
Siobhan Vivian,The List,3.0
David James Duncan,The Brothers K,4.0
W. Bruce Cameron,"A Dog's Journey (A Dog's Purpose, #2)",4.0
"Timothy J. Keller, Kathy  Keller",The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,4.0
"Grant Morrison, Frank Quitely, Philip Tan, Jonathan Glapion, Alex Sinclair",Batman & Robin: Batman Reborn,4.0
Matsuri Hino,"MeruPuri, Vol. 1 (MeruPuri, #1)",4.0
"F. Scott Fitzgerald, Matthew J. Bruccoli",The Short Stories,4.0
V.C. Andrews,"Dark Angel (Casteel, #2)",4.0
Timothy Zahn,"Specter of the Past (Star Wars: The Hand of Thrawn, #1)",4.0
Alessandra Torre,Black Lies,4.0
Laura Lippman,What the Dead Know,4.0
"Jay Crownover, Charlotte Connan de vries","Rome (Marked Men, #3)",4.0
"Laurence Sterne, Melvyn New","The Life and Opinions of Tristram Shandy, Gentleman",4.0
"Giles Andreae, Guy Parker-Rees",Giraffes Can't Dance,4.0
Susan Vreeland,The Passion of Artemisia,4.0
Louise L. Hay,Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,4.0
"Mia Ikumi, Reiko Yoshida","Tokyo Mew Mew, Vol. 1 (Tokyo Mew Mew, #1)",4.0
Emily M. Danforth,The Miseducation of Cameron Post,4.0
"Neil Gaiman, P. Craig Russell",Coraline (Illustrated/Graphic Novel Edition),4.0
Diana Wynne Jones,"House of Many Ways (Howl's Moving Castle, #3)",4.0
Don Winslow,The Cartel,4.0
Sue Klebold,A Mother's Reckoning: Living in the Aftermath of Tragedy,4.0
Carl Hiaasen,"Skin Tight (Mick Stranahan, #1)",4.0
Ian Fleming,"Moonraker (James Bond, #3)",4.0
"John Locke, Peter Laslett, Raymond Geuss",Two Treatises of Government,4.0
Henry David Thoreau,Civil Disobedience and Other Essays,4.0
Louisa May Alcott,"Rose in Bloom (Eight Cousins, #2)",4.0
David  Arnold,Mosquitoland,4.0
Barbara Claypole White,The Perfect Son,4.0
Melina Marchetta,Looking for Alibrandi,4.0
Kristen Ashley,"Raid (Unfinished Hero, #3)",4.0
